"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Salt Lake District","36","Highland High","708","Public","","","?","9 - 12","2166 S 1700 E","SALT LAKE CITY","84106","geo:40.723495,-111.843157","http://highland.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36708","801-484-4343","801-481-4893","","1957","","Principal","Jeremy Chatterton","jeremy.chatterton@slcschools.org"
"Salt Lake District","36","Highland Park School","180","Public","","","?","K - 6","1738 E 2700 S","SALT LAKE CITY","84106","geo:40.712571,-111.840853","http://highlandpark.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36180","801-481-4833","801-481-4920","","1965","","Principal","Debora Cluff","debora.cluff@slcschools.org"
"Salt Lake District","36","Hillside Middle","416","Public","","","?","7 - 8","1825 S NEVADA","SALT LAKE CITY","84108","geo:40.730511,-111.823166","http://hillside.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36416","801-481-4828","801-481-4831","","1953","","Principal","JaNeal Rodriguez","janeal.rodriguez@slcschools.org"
"Salt Lake District","36","Horizonte Instruction & Training Center","750","Public","","","?","7 - 12","1234 S MAIN ST","SALT LAKE CITY","84101","geo:40.742472,-111.892055","","https://datagateway.schools.utah.gov/Schools/36750","801-578-8574","801-578-8577","","1960","","Principal","Tracy Sjostrom","tracy.sjostrom@slcschools.org"
"Salt Lake District","36","Indian Hills School","184","Public","","","?","Pre - 6","2496 E SAINT MARYS DR","SALT LAKE CITY","84108","geo:40.739918,-111.817665","http://indianhills.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36184","801-584-2908","801-584-2932","","1958","","Principal","Thomas Luthy","thomas.luthy@slcschools.org"
"Salt Lake District","36","Innovations High School","748","Public","","","?","9 - 12","1633 SOUTH EDISON","SALT LAKE CITY","84115","geo:40.733488,-111.888355","www.innovationshigh.org","https://datagateway.schools.utah.gov/Schools/36748","801-481-4946","801-584-2927","","2012","","Administrator","Laura DeShazo","Laura.Deshazo@slcschools.org"
"Salt Lake District","36","Liberty School","196","Public","","Title I","?","Pre - 6","1090 S ROBERTA ST","SALT LAKE CITY","84111","geo:40.745232,-111.884383","https://liberty.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36196","801-578-8180","801-578-8188","","1978","","Principal","Julia Barrientos","julia.barrientos@slcschools.org"
"Salt Lake District","36","M. Lynn Bennion School","204","Public","","Title I","?","Pre - 6","429 S 800 E","SALT LAKE CITY","84102","geo:40.759616,-111.867345","http://bennion.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36204","801-578-8108","801-578-8111","","1980","","Principal","Ana Rodriguez","Ana.Rodriguez6@slcschools.org"
"Salt Lake District","36","Mary W. Jackson School","188","Public","","Title I","?","Pre - 6","750 W 200 N","SALT LAKE CITY","84116","geo:40.774857,-111.912637","https://marywjackson.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36188","801-578-8165","801-578-8172","","1960","","Principal","Kalina Potts","kalina.potts@slcschools.org"
"Salt Lake District","36","Meadowlark School","216","Public","","Title I","?","Pre - 6","497 N MORTON DR","SALT LAKE CITY","84116","geo:40.78039,-111.946604","http://meadowlark.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36216","801-578-8529","801-578-8534","","1976","","Principal","Jacqlyn Spell","Jacqlyn.Spell@slcschools.org"
"Salt Lake District","36","Mountain View School","160","Public","","Title I","?","Pre - 6","1380 S NAVAJO","SALT LAKE CITY","84104","geo:40.739201,-111.930235","http://mountainview.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36160","801-974-8315","801-974-8332","","1953","","Principal","Jason Finch","jason.finch@slcschools.org"
"Salt Lake District","36","Newman School","220","Public","","Title I","?","Pre - 6","1269 N COLORADO ST","SALT LAKE CITY","84116","geo:40.796862,-111.932299","http://newman.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36220","801-578-8537","801-578-8544","","1955","","Principal","Kenneth Limb","Kenneth.Limb@slcschools.org"
"Salt Lake District","36","Nibley Park School","224","Public","","Title I","?","Pre - 8","2785 S 800 E","SALT LAKE CITY","84106","geo:40.709851,-111.866747","http://nibleypark.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36224","801-481-4842","801-481-4899","","1953","","Principal","Frances Battle","frances.battle@slcschools.org"
"Salt Lake District","36","North Star School","140","Public","","Title I","?","Pre - 6","1545 N MORTON DR","SALT LAKE CITY","84116","geo:40.803463,-111.947417","http://northstar.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36140","801-578-8448","801-578-8445","","1999","","Principal","Adrienne Lobato","adrienne.lobato@slcschools.org"
"Salt Lake District","36","Northwest Middle","440","Public","","Title I","?","7 - 8","1730 W 1700 N","SALT LAKE CITY","84116","geo:40.806709,-111.940395","http://northwest.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36440","801-578-8547","801-578-8558","","1958","","Principal","Andrea Seminario","andrea.seminario@slcschools.org"
"Salt Lake District","36","Parkview School","242","Public","","Title I","?","Pre - 6","970 S EMERY ST","SALT LAKE CITY","84104","geo:40.748402,-111.925564","http://parkview.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36242","801-974-8304","801-974-8329","","1966","","Principal","Justin Milner","justin.milner@slcschools.org"
"Salt Lake District","36","Riley School","244","Public","","Title I","?","Pre - 6","1410 S 800 W","SALT LAKE CITY","84104","geo:40.738625,-111.914729","http://riley.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36244","801-974-8310","801-974-8354","","1955","","Principal","Keslie Green","keslie.green@slcschools.org"
"Salt Lake District","36","Rose Park School","252","Public","","Title I","?","Pre - 6","1105 W 1000 N","SALT LAKE CITY","84116","geo:40.790517,-111.922755","http://rosepark.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36252","801-578-8554","801-578-8373","","1951","","Principal","Nicole Palmer","nicole.palmer@slcschools.org"
"Salt Lake District","36","Salt Lake Center for Science Education Bryant","404","Public","","Title I","?","7 - 8","40 S 800 E","SALT LAKE CITY","84102","geo:40.768375,-111.869212","http://bryant.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36404","801-578-8118","801-578-8125","","1980","","Principal","Matthew Smith","matthew.smith@slcschools.org"
"Salt Lake District","36","Salt Lake Head Start","292","Public","","","?","Pre","1240 AMERICAN BEAUTY DRI","SALT LAKE CITY","84116","geo:40.795611,-111.92116","http://www.saltlakeheadstart.org/","https://datagateway.schools.utah.gov/Schools/36292","801-578-8173","","","1983","","Principal","",""
"Salt Lake District","36","Salt Lake Technology Center","749","Public","","","?","9 - 12","1560 S 200 E","SALT LAKE CITY","84115","geo:40.735782,-111.886069","","https://datagateway.schools.utah.gov/Schools/36749","801-481-4946","","","2002","","Director","Laura DeShazo","laura.deshazo@slcschools.org"
"Salt Lake District","36","Salt Lake Virtual Elementary","147","Public","","","?","null","440 E 100 South","SALT LAKE CITY","84111","geo:40.766769,-111.879143","","https://datagateway.schools.utah.gov/Schools/36147","801-578-8599","","","2021","2023","Principal","Kenneth Limb","kenneth.limb@slcschools.org"
"Salt Lake District","36","Sky View Academy","790","Public","","","?","12","1234 S Main Street","SALT LAKE CITY","84101","geo:40.73622,-112.08242","","https://datagateway.schools.utah.gov/Schools/36790","801-578-8574","","","2022","","Principal","Christopher Sullivan","christopher.sullivan@slcschools.org"
"Salt Lake District","36","Uintah School","268","Public","","","?","K - 6","1571 E 1300 S","SALT LAKE CITY","84105","geo:40.742151,-111.84594","http://uintah.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36268","801-584-2940","801-584-2944","","1914","","Principal","Bruce Simpson","bruce.simpson@slcschools.org"
"Salt Lake District","36","Wasatch School","272","Public","","","?","K - 6","30 R Street","SALT LAKE CITY","84103","geo:40.779359,-111.895934","http://wasatch.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36272","801-578-8564","801-578-8117","","1977","","Principal","Adrienne Kumik","adrienne.kumik@slcschools.org"
"Salt Lake District","36","Washington School","276","Public","","Title I","?","Pre - 6","420 N 200 W","SALT LAKE CITY","84103","geo:40.779359,-111.895934","http://washington.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36276","801-578-8140","801-578-8147","","1977","","Principal","John Kelly","john.kelly@slcschools.org"
"Salt Lake District","36","West High","716","Public","","","?","7 - 12","241 N 300 W","SALT LAKE CITY","84103","geo:40.77476,-111.900371","http://west.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36716","801-578-8500","801-578-8516","","1920","","Principal","Jared Wright","jared.wright@slcschools.org"
"Salt Lake District","36","Whittier School","288","Public","","Title I","?","Pre - 6","1600 S 300 E","SALT LAKE CITY","84115","geo:40.734676,-111.883211","http://whittier.slcschools.org/","https://datagateway.schools.utah.gov/Schools/36288","801-481-4846","801-481-4849","","1910","","Principal","Brigida Deleon","bri.deleon@slcschools.org"
"Salt Lake School for the Performing Arts","7D","Salt Lake School for the Performing Arts","700","Public","Charter","","?","9 - 12","2291 S 2000 E","SALT LAKE CITY","84106","geo:40.723495,-111.843157","http://www.saltlakespa.org","https://datagateway.schools.utah.gov/Schools/7D700","801-466-6700","801-485-1707","District or Local Education Authority (LEA)","2006","","Principal","Angela Pontious","apontious@saltlakespa.org"
"San Juan District","25","Albert R. Lyman Middle","308","Public","","Title I","?","6 - 8","535 N 100 E","BLANDING","84511","geo:37.632855,-109.477025","https://www.sjsd.org/o/arlms","https://datagateway.schools.utah.gov/Schools/25308","435-678-1398","435-678-1399","","1986","","Principal","Ryan Palmer","rpalmer@sjsd.org"
"San Juan District","25","Blanding School","104","Public","","Title I","?","Pre - 5","302 S 100 W","BLANDING","84511","geo:37.62116,-109.480493","https://www.sjsd.org/o/bes","https://datagateway.schools.utah.gov/Schools/25104","435-678-1871","435-678-1877","","1955","","Principal","Michael Johnson","mjohnson4@sjsd.org"
"San Juan District","25","Bluff School","108","Public","","Title I","?","Pre - 5","P O BOX 130 OLD MAIN HIGHWAY","BLUFF","84512","geo:37.284003,-109.551426","https://www.sjsd.org/o/bluffes","https://datagateway.schools.utah.gov/Schools/25108","435-678-1296","435-678-1297","","1956","","Principal","Barbara Silversmith","bsilversmith@sjsd.org"
"San Juan District","25","La Sal School","124","Public","","Title I","?","Pre - 3","P O BOX 367 STATE HWY #46","LASAL","84530","geo:38.312817,-109.25179","https://www.sjsd.org/o/lses","https://datagateway.schools.utah.gov/Schools/25124","435-678-1292","435-678-1293","","1955","","Director","Amanda Shupe","ashupe@sjsd.org"
"San Juan District","25","Montezuma Creek School","136","Public","","Title I","?","Pre - 6","BOX 630 STATE HWY #262","MONTEZUMA CREEK","84534","geo:37.260566,-109.305166","https://www.sjsd.org/o/mces","https://datagateway.schools.utah.gov/Schools/25136","435-678-1261","435-678-1850","","1983","","Principal","Jenny Atcitty","jatcitty@sjsd.org"
"San Juan District","25","Monticello High","704","Public","","Title I","?","7 - 12","P O BOX 69 164 S 200 W","MONTICELLO","84535","geo:37.87066,-109.347024","https://www.sjsd.org/o/mhs","https://datagateway.schools.utah.gov/Schools/25704","435-678-1130","435-678-1150","","1950","","Principal","Kevin Olson","kolson@sjsd.org"
"San Juan District","25","Monticello School","140","Public","","Title I","?","Pre - 6","P O BOX 189 197 N 200 W","MONTICELLO","84535","geo:37.875393,-109.346993","https://www.sjsd.org/o/mes","https://datagateway.schools.utah.gov/Schools/25140","435-678-1180","435-678-1179","","1958","","Principal","Jenna Olson","jolson@sjsd.org"
"San Juan District","25","Monument Valley High","706","Public","","Title I","?","7 - 12","P O BOX 360008 US STATE HWY #163","MONUMENT VALLEY","84536","geo:37.005079,-110.1781","https://www.sjsd.org/o/mvhs","https://datagateway.schools.utah.gov/Schools/25706","435-678-1208","435-678-1258","","1984","","Principal","Donald Gandy","dgandy@sjsd.org"
"San Juan District","25","Navajo Mountain High","712","Public","","Title I","?","9 - 12","P O BOX 10040 RT #16 NAVAJO MT","TONALEA","86044","geo:37.018589,-110.795125","https://www.sjsd.org/o/nmhs","https://datagateway.schools.utah.gov/Schools/25712","435-678-1287","435-678-1289","","1997","","Principal","Ryan Carlson","rcarlson@sjsd.org"
"San Juan District","25","San Juan High","708","Public","","Title I","?","6 - 12","311 N 100 E","BLANDING","84511","geo:37.629879,-109.476953","https://www.sjsd.org/o/sjhs","https://datagateway.schools.utah.gov/Schools/25708","435-678-1301","435-678-1396","","1938","","Principal","Ryan Nielson","rnielson2@sjsd.org"
"San Juan District","25","Tse'Bii'Nidzisgai School","148","Public","","Title I","?","Pre - 6","101 W MEDICAL DR PO BOX 360448","MONUMENT VALLEY","84536","geo:37.010556,-110.242778","https://www.sjsd.org/o/tes","https://datagateway.schools.utah.gov/Schools/25148","435-678-1286","435-678-1244","","2011","","Principal","Heather Amado","hamado@sjsd.org"
"San Juan District","25","Whitehorse High","710","Public","","Title I","?","7 - 12","P O BOX 660 STATE HWY #262","MONTEZUMA CREEK","84534","geo:37.260395,-109.304677","https://whitehorse-high.sjsd.org/o/whs","https://datagateway.schools.utah.gov/Schools/25710","435-678-1209","435-678-1252","","1978","","Principal","Kimberly Schaefer","kschaefer@sjsd.org"
"Scholar Academy","6J","Scholar Academy","100","Public","Charter","Title I","?","K - 8","928 N 100 E","TOOELE","84074","geo:40.54846,-112.2953","http://scholarcharter.org/","https://datagateway.schools.utah.gov/Schools/6J100","435-566-6957","435-882-6541","State Charter School Board (SCSB)","2014","","Administrator","Traelle Gailey","tgailey@scholarcharter.org"
"Second Chances in Southern Utah","SC","Second Chances in Southern Utah","950","Private","","","?","7 - 12","591 North State Street","LA VERKIN","84745","geo:37.21286,-113.272503","scinsu.com","","435-635-9773","435-635-9770","","2015","","Administrator","",""
"Seps Learning Center","MZ","Seps Learning Center","950","Private","","","?","K - 12","604 WILMINGTON AVE","SALT LAKE CITY","84106","geo:40.724939,-111.854064","","","801-467-2122","801-467-2148","","2007","","Principal","",""
"Sevier District","26","Ashman School","104","Public","","Title I","?","K - 2","70 N 200 W","RICHFIELD","84701","geo:38.768982,-112.087476","http://aes.seviersd.org","https://datagateway.schools.utah.gov/Schools/26104","435-896-8415","435-896-6958","","1906","","Principal","Amee Roundy","amee.roundy@seviersd.org"
"Sevier District","26","Cedar Ridge High","716","Public","","","?","6 - 12","555 W 100 N","RICHFIELD","84701","geo:38.769327,-112.094513","http://www.sevier.k12.ut.us/index.php/school/schools/cedar-ridge-high-school","https://datagateway.schools.utah.gov/Schools/26716","435-896-9464","435-896-9475","","1992","","Principal","Mark Stewart","mark.f.stewart@seviersd.org"
"Sevier District","26","Koosharem School","116","Public","","","?","K - 6","75 E CENTER","KOOSHAREM","84744","geo:38.51055,-111.879846","http://kes.seviersd.org","https://datagateway.schools.utah.gov/Schools/26116","435-638-7303","435-638-7516","","1901","","Principal","Wesley Torgersen","wesley.torgersen@seviersd.org"
"Sevier District","26","Monroe School","120","Public","","Title I","?","K - 5","40 W CENTER ST","MONROE","84754","geo:38.632303,-112.122771","http://mes.seviersd.org","https://datagateway.schools.utah.gov/Schools/26120","435-527-4691","435-527-4660","","1951","","Principal","Chett Heath","chett.heath@seviersd.org"
"Sevier District","26","North Sevier High","704","Public","","","?","9 - 12","350 W 400 N","SALINA","84654","geo:38.964129,-111.865601","http://nshs.seviersd.org","https://datagateway.schools.utah.gov/Schools/26704","435-529-3717","435-529-7910","","1982","","Principal","Jade Shepherd","jade.shepherd@seviersd.org"
"Sevier District","26","North Sevier Middle","310","Public","","","?","6 - 8","135 N 100 W","SALINA","84654","geo:38.960041,-111.862721","http://nsms.seviersd.org","https://datagateway.schools.utah.gov/Schools/26310","435-529-3841","435-529-7377","","1975","","Principal","N. Rod Hinck","rod.hinck@seviersd.org"
"Sevier District","26","Pahvant School","124","Public","","Title I","?","3 - 5","520 N 300 W","RICHFIELD","84701","geo:38.775421,-112.089034","http://pes.seviersd.org","https://datagateway.schools.utah.gov/Schools/26124","435-896-4403","435-896-9479","","1958","","Principal","Chad Johnson","chad.johnson@seviersd.org"
"Sevier District","26","Red Hills Middle","330","Public","","","?","6 - 8","400 S 600 W","RICHFIELD","84701","geo:38.762496,-112.095755","http://rhms.seviersd.org","https://datagateway.schools.utah.gov/Schools/26330","435-896-6421","435-896-6423","","1986","","Principal","Ted Chappell","ted.chappell@seviersd.org"
"Sevier District","26","Richfield High","708","Public","","","?","9 - 12","495 West Center","RICHFIELD","84701","geo:38.7680577,-112.0929505","http://rhs.seviersd.org","https://datagateway.schools.utah.gov/Schools/26708","435-896-8247","435-896-8246","","1934","","Principal","Nathan Blackner","nathan.blackner@seviersd.org"
"Sevier District","26","Richfield Preschool","820","Public","","","?","Pre","80 W CENTER","RICHFIELD","84701","geo:38.76776,-112.086157","http://www.sevier.k12.ut.us/index.php/school/schools/richfield-preschool","https://datagateway.schools.utah.gov/Schools/26820","435-896-8776","","","1990","","Administrator","Dawnanna Topham","dawnanna.topham@seviersd.org"
"Sevier District","26","Salina School","132","Public","","Title I","?","K - 5","210 W 300 N","SALINA","84654","geo:38.962184,-111.86366","http://ses.seviersd.org","https://datagateway.schools.utah.gov/Schools/26132","435-529-7462","435-529-7463","","1959","","Principal","Jordan Krahenbuhl","jordan.krahenbuhl@seviersd.org"
"Sevier District","26","Sevier Career and Technical Education Center","600","Public","","","?","9 - 12","53 North 400 West","RICHFIELD","84701","geo:38.776504,-112.0829158","www.sevier.k12.ut.us","https://datagateway.schools.utah.gov/Schools/26600","435-633-4989","435-896-8804","","2015","","Director","Jennifer Christensen","jennifer.christensen@seviersd.org"
"Sevier District","26","South Sevier High","712","Public","","","?","9 - 12","430 W 100 S","MONROE","84754","geo:38.630484,-112.131337","http://sshs.seviersd.org","https://datagateway.schools.utah.gov/Schools/26712","435-527-4651","435-527-4653","","1982","","Principal","Brett Beagley","brett.beagley@seviersd.org"
"Sevier District","26","South Sevier Middle","320","Public","","","?","6 - 8","300 E CENTER","MONROE","84754","geo:38.631359,-112.11504","http://ssms.seviersd.org","https://datagateway.schools.utah.gov/Schools/26320","435-527-4607","435-527-4636","","1972","","Principal","Michelle Nielson","michelle.nielson@seviersd.org"
"Silverado Academy","MH","Silverado Academy","951","Private","","","?","K - 12","3800 SO HWY 89 P.O. BOX 919","PANGUITCH","84759","geo:37.945208,-112.421967","","","435-676-8482","435-676-8488","","2007","","Principal","",""
"Smart Kids","CE","Smart Kids Kearns","902","Private","","","?","Pre","5000 West 5035 South","KEARNS","84118","geo:40.6596346,-112.0097704","celautah.com","","801-967-3111","801-967-2151","","2014","","Administrator","",""
"Smart Kids","CE","Smart Kids Redwood","904","Private","","","?","Pre - 6","4995 S Redwood Road","TAYLORSVILLE","84123","geo:40.66,-111.938","","","801-268-1142","","","2021","","Administrator","","rae.smartkids@gmail.com"
"Smart Kids","CE","Smart Kids Salt Lake","903","Private","","","?","Pre - 6","3868 S 200 E","SALT LAKE CITY","84115","geo:40.687,-111.886","","","801-266-1544","","","2021","","Administrator","","rae.smartkids@gmail.com"
"Smart Kids","CE","Smart Kids Taylorsville","901","Private","","","?","Pre","4995 S Redwood Road","TAYLORSVILLE","84123","geo:40.6604833,-111.9381068","celautah.com","","801-268-1142","801-268-1167","","2014","","Administrator","",""
"Smart Kids","CE","Smart Kids West Jordan","905","Private","","","?","Pre - 6","7000 S 1800 W","WEST JORDAN","84084","geo:40.624,-111.9407","","","801-566-3731","","","2021","","Administrator","","rae.smartkids@gmail.com"
"Smart Start Learning Center","ST","Smart Start Learning Center","901","Private","","","?","Pre","4050 S 2700 W","WEST VALLEY CITY","84119","geo:40.68346,-111.95848","https://smartstartlearningcenters.com/","","801-966-8766","","","2023","","Administrator","",""
"Smart Start Learning Center","ST","Smart Start Learning Center – Clearfield","902","Private","","","?","Pre","805 E 700 S","WEST VALLEY CITY","84119","geo:40.75441,-111.86779","https://smartstartlearningcenters.com/","","801-217-3451","","","2023","","Administrator","","sslcclearfield@gmail.com"
"Soaring Eagles Preschool","SE","Soaring Eagles Preschool","901","Private","","","?","Pre - 12","426 N 100 W","OREM","84059","geo:40.304,-111.754","soaringeaglespreschool.net","","801-437-3100","","","2021","","Administrator","","director@soaringeaglespreschool.net"
"Soldier Hollow Charter School","89","Soldier Hollow Charter School","100","Public","Charter","","?","Pre - 8","3444 West 3000 South","HEBER CITY","84032","geo:40.4714003,-111.4663796","www.mysoldierhollow.com","https://datagateway.schools.utah.gov/Schools/89100","435-654-1347","435-654-1349","State Charter School Board (SCSB)","1999","","Director","Jamie Bennion","jamie.bennion@myshcs.org"
"Sorenson's Ranch School","KQ","Sorenson's Ranch School","655","Private","","","?","7 - 12","BOX 440068, 410 N 200 E","KOOSHAREM","84744","geo:38.516744,-111.877703","","","435-638-7318","435-638-7318","","1990","","Principal","","administration@sorensonsonsranch.com"
"South Sanpete District","27","Ephraim Middle","304","Public","","","?","6 - 8","555 S 100 E","EPHRAIM","84627","geo:39.350263,-111.583075","https://www.ssanpete.org/ems-home.html","https://datagateway.schools.utah.gov/Schools/27304","435-283-4037","435-283-4885","","1982","","Principal","John Gillett","john.gillett@ssanpete.org"
"South Sanpete District","27","Ephraim School","108","Public","","Title I","?","Pre - 5","570 S 300 EAST","EPHRAIM","84627","geo:39.357049,-111.586197","https://www.ssanpete.org/ees-home.html","https://datagateway.schools.utah.gov/Schools/27108","435-283-4171","435-283-6892","","1961","","Principal","Darson Jones","ganon.jones@ssanpete.org"
"South Sanpete District","27","Gunnison Valley High","704","Public","","","?","9 - 12","PO BOX 460 35 E 600 S","GUNNISON","84634","geo:39.143049,-111.816912","https://www.ssanpete.org/gvh-school-info/gvhs-home.html","https://datagateway.schools.utah.gov/Schools/27704","435-528-7256","435-528-3556","","1961","","Principal","Eugene King","eugene.king@ssanpete.org"
"South Sanpete District","27","Gunnison Valley Middle","302","Public","","","?","6 - 8","PO BOX 1090 271 E 600 S","GUNNISON","84634","geo:39.142654,-111.811328","https://www.ssanpete.org/gvms-home-info.html","https://datagateway.schools.utah.gov/Schools/27302","435-528-5337","435-528-5397","","1999","","Principal","Adam Peterson","adam.peterson@ssanpete.org"
"South Sanpete District","27","Gunnison Valley School","112","Public","","Title I","?","Pre - 5","PO BOX 369 550 S 100 E","GUNNISON","84634","geo:39.139133,-111.820379","https://www.ssanpete.org/ges-home.html","https://datagateway.schools.utah.gov/Schools/27112","435-528-7880","435-528-7474","","1961","","Principal","Arleen Jensen","arleen.jensen@ssanpete.org"
"South Sanpete District","27","Manti High","708","Public","","","?","9 - 12","100 W 500 N","MANTI","84642","geo:39.274063,-111.639228","https://www.ssanpete.org/mh-departments/mhs-home.html","https://datagateway.schools.utah.gov/Schools/27708","435-835-2281","435-835-2285","","1980","","Principal","Karen Soper","karen.soper@ssanpete.org"
"South Sanpete District","27","Manti School","116","Public","","Title I","?","Pre - 5","150 W 100 S","MANTI","84642","geo:39.264474,-111.63978","https://www.ssanpete.org/mes-home.html","https://datagateway.schools.utah.gov/Schools/27116","435-835-2271","435-835-2278","","1982","","Principal","David Ipson","david.ipson@ssanpete.org"
"South Sanpete District","27","South Sanpete Education Support Center","801","Public","","","?","K - 12","39 S MAIN ST","MANTI","84642","geo:39.264864,-111.63701","","https://datagateway.schools.utah.gov/Schools/27801","435-835-2261","435-835-2265","","2011","","Principal","Arlene Anderson","arlene.anderson@ssanpete.org"
"South Summit District","28","Silver Summit Academy","705","Public","","","?","6 - 12","6407 N Business Park Loop Rd.","PARK CITY","84098","geo:40.722315,-111.48626","www.ssummit.org","https://datagateway.schools.utah.gov/Schools/28705","435-901-1697","435-783-4501","","2017","","Principal","Jeffrey Greiner","jgreiner@ssummit.org"
"South Summit District","28","Silver Summit School","105","Public","","","?","K - 5","285 E 400 S","KAMAS","84036","geo:40.7223734,-111.4884819","www.ssummit.org","https://datagateway.schools.utah.gov/Schools/28105","435-640-6095","435-783-4501","","2017","","Principal","Jeffrey Greiner","jgreiner@ssummit.org"
"South Summit District","28","South Summit High","704","Public","","","?","9 - 12","45 S 300 E","KAMAS","84036","geo:40.641772,-111.273336","http://www.ssummit.org","https://datagateway.schools.utah.gov/Schools/28704","435-783-4313","435-783-4765","","1968","","Principal","Kena Rydalch","krydalch@ssummit.org"
"South Summit District","28","South Summit Middle","304","Public","","","?","5 - 8","355 E 300 S","KAMAS","84036","geo:40.639189,-111.272402","http://www.ssummit.org","https://datagateway.schools.utah.gov/Schools/28304","435-783-4341","435-783-2787","","1980","","Principal","Laci McCormick","lmccormick@ssummit.org"
"South Summit District","28","South Summit Preschool","100","Public","","","?","Pre","375 E 300 S","KAMAS","84036","geo:40.638552,-111.271702","","https://datagateway.schools.utah.gov/Schools/28100","435-783-4301","","","2002","","Principal","",""
"South Summit District","28","South Summit School","104","Public","","Title I","?","Pre - 4","535 E 300 S","KAMAS","84036","geo:40.638896,-111.26908","http://www.ssummit.k12.ut.us/ElementarySchool.cfm?subpage=229535","https://datagateway.schools.utah.gov/Schools/28104","435-783-4318","435-783-2805","","1983","","Principal","Lisa Flinders","lflinders@ssummit.org"
"Southern Utah University","56","Southern Utah University","901","Private","","","?","K - 12","351 W CENTER","CEDAR CITY","84720","geo:37.675555,-113.070582","http://www.suu.edu/","https://datagateway.schools.utah.gov/Schools/56901","435-586-6070","","","2020","","Coordinator","","lundberg@suu.edu"
"Southern Utah University Head Start","SH","Southern Utah University Head Start","901","Private","","","?","Pre","2390 West Highway 56 #1","CEDAR CITY","84720","geo:37.63809,-113.26258","https://www.suu.edu/headstart/ 
","","435-586-6070","","","2020","","Administrator","","lundberg@suu.edu"
"Spectrum Academy","3D","Spectrum Academy","100","Public","Charter","Title I","?","K - 12","575 CUTLER DRIVE","NORTH SALT LAKE","84054","geo:40.852613,-111.932546","http://www.spectrumcharter.org","https://datagateway.schools.utah.gov/Schools/3D100","801-936-0318","801-936-0568","State Charter School Board (SCSB)","2006","","Director","Jaime Christensen","jchristensen@spectrumcharter.org"
"Spectrum Academy","3D","Spectrum Academy - Pleasant Grove","300","Public","Charter","","?","K - 12","867 S. 800 W.","PLEASANT GROVE","84062","geo:40.37339,-111.72168","www.spectrumcharter.org","https://datagateway.schools.utah.gov/Schools/3D300","801-785-9019","801-936-0209","State Charter School Board (SCSB)","2014","","Director","Elizabeth Banner","lbanner@spectrumcharter.org"
"St. George Academy","9K","St. George Academy","700","Public","Charter","","?","8 - 12","380 E 3090 South","WASHINGTON","84780","geo:37.08789,-113.50299","www.stgacademy.org","https://datagateway.schools.utah.gov/Schools/9K700","435-319-0105","","State Charter School Board (SCSB)","2017","","Administrator","",""
"Stillwater Academy","KR","Stillwater Academy","601","Private","","","?","7 - 12","11175 S REDWOOD RD","SOUTH JORDAN","84095","geo:40.548308,-111.937971","www.turnaboutteens.org","","801-484-9911","801-676-4150","","2002","","Director","Brandon Drown","lee@turnaboutteens.org"
"Storm Ridge Ranch","KW","Storm Ridge Ranch","951","Private","","","?","7 - 12","2898 N 100W Storm Ridge Lane","MONROE","84754","geo:38.702836,-112.100178","srseducation.com","","435-527-2749","435-527-8853","","1990","","Principal","Trina Swalberg","srsboysandgirlseducation@gmail.com"
"Success Academy","A9","Success Academy","700","Public","Charter","Title I","?","9 - 12","351 W UNIVERSITY BLVD Multipurpose Bldg MC205","CEDAR CITY","84720","geo:37.67757,-113.06852","http://www.successacademy.org","","435-865-8790","435-865-8795","District or Local Education Authority (LEA)","2005","","Principal","Gavin Hawkley","hawkley@successacademy.org"
"Success Academy","A9","Success DSU","710","Public","Charter","","?","10 - 12","225 South 700 East Technology Building","ST GEORGE","84770","geo:37.10297,-113.56582","www.successacademy.org","","435-652-7830","435-656-4149","District or Local Education Authority (LEA)","2014","","Principal","Brian M. Reid","reid@successacademy.org"
